Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear,Drained_after_socializing,Personality
9.92,1.84,12.42,29.0,23.86,No,Yes,Introvert
10.21,0.56,10.31,23.83,23.67,No,No,Extrovert
13.57,1.6,12.44,26.19,24.47,Yes,Yes,Extrovert
9.91,0.87,12.3,24.84,22.26,No,Yes,Extrovert
17.54,0.53,13.34,37.16,16.35,No,Yes,Introvert
10.08,0.69,14.36,34.53,16.1,Yes,Yes,Extrovert
11.53,1.45,14.09,36.68,23.61,Yes,Yes,Extrovert
18.02,0.63,8.44,25.68,20.24,Yes,Yes,Introvert
14.57,0.29,13.76,32.61,21.46,Yes,Yes,Introvert
13.08,0.09,12.27,38.16,16.71,Yes,No,Introvert
11.16,0.12,12.99,24.86,21.98,Yes,Yes,Extrovert
15.43,1.5,10.98,25.51,18.17,No,Yes,Introvert
8.75,0.85,9.98,24.32,15.39,Yes,Yes,Introvert
9.47,1.98,11.13,21.86,19.24,Yes,Yes,Extrovert
17.36,1.61,10.74,20.77,17.22,Yes,Yes,Extrovert
11.99,0.19,11.0,29.69,19.96,Yes,Yes,Extrovert
9.48,0.73,11.88,22.05,19.53,Yes,Yes,Introvert
15.88,1.9,9.89,26.11,23.69,No,No,Introvert
12.69,0.38,10.28,28.37,24.15,Yes,No,Introvert
13.84,0.85,13.83,32.63,22.52,Yes,Yes,Introvert
10.55,0.82,11.13,34.96,22.41,Yes,Yes,Extrovert
18.59,1.94,14.47,37.55,20.33,Yes,Yes,Extrovert
17.01,1.78,13.77,39.07,23.67,Yes,Yes,Extrovert
16.88,0.3,8.06,38.57,17.1,Yes,No,Introvert
11.02,0.72,13.59,33.61,24.22,Yes,No,Extrovert
19.22,1.01,10.8,38.22,24.01,Yes,Yes,Extrovert
19.5,0.34,8.92,39.72,21.45,Yes,Yes,Introvert
16.67,0.84,13.26,22.06,21.58,Yes,No,Introvert
16.01,0.45,10.2,20.04,24.25,Yes,No,Introvert
8.34,1.9,9.21,20.12,23.46,Yes,Yes,Introvert
14.56,0.52,11.08,27.77,16.27,Yes,Yes,Introvert
9.18,0.14,12.01,25.96,23.61,Yes,Yes,Introvert
18.15,0.49,8.42,33.87,15.96,Yes,Yes,Introvert
17.9,0.25,13.78,22.74,18.51,Yes,Yes,Introvert
15.94,0.54,12.33,37.33,23.28,No,No,Introvert
15.54,1.03,9.52,38.81,24.07,Yes,Yes,Extrovert
12.65,1.21,11.5,34.6,20.37,Yes,Yes,Extrovert
12.06,0.91,9.75,21.4,23.73,Yes,Yes,Introvert
19.83,1.08,12.76,37.74,16.54,Yes,Yes,Extrovert
16.17,1.37,12.7,28.8,24.78,No,Yes,Extrovert
14.95,0.06,11.23,33.98,22.83,Yes,Yes,Introvert
15.87,1.64,9.93,25.51,24.73,Yes,Yes,Introvert
16.72,1.26,11.56,26.57,17.38,Yes,Yes,Introvert
9.77,0.67,10.73,26.06,24.27,Yes,Yes,Introvert
9.67,0.23,13.52,29.84,20.04,Yes,Yes,Extrovert
11.53,1.7,12.83,23.73,17.56,Yes,Yes,Extrovert
9.71,1.62,12.02,35.38,22.78,Yes,No,Extrovert
14.39,1.13,11.94,34.62,22.3,No,No,Extrovert
18.89,0.8,13.3,33.28,15.37,Yes,Yes,Introvert
13.64,1.14,8.28,28.98,17.76,Yes,Yes,Introvert
11.24,0.69,10.75,34.92,16.2,Yes,No,Introvert
15.43,1.18,12.84,36.61,21.83,Yes,Yes,Extrovert
19.05,0.58,11.43,30.68,23.75,Yes,Yes,Introvert
15.41,0.43,11.28,34.41,24.13,Yes,Yes,Introvert
10.57,0.84,13.58,31.28,19.23,Yes,No,Introvert
12.57,0.42,13.21,36.36,17.19,Yes,No,Introvert
14.19,0.08,11.62,37.4,23.93,Yes,Yes,Introvert
18.65,1.97,8.92,21.36,18.74,Yes,Yes,Introvert
17.94,0.61,12.43,21.39,18.46,Yes,Yes,Introvert
8.43,0.49,12.77,31.58,24.72,Yes,No,Extrovert
12.41,0.13,8.18,28.98,18.65,Yes,Yes,Introvert
12.58,0.1,14.58,24.0,15.68,Yes,Yes,Introvert
19.86,0.37,10.71,28.6,23.35,Yes,Yes,Introvert
13.16,1.19,13.29,28.76,23.7,Yes,Yes,Introvert
16.21,0.36,9.01,31.97,15.96,Yes,Yes,Introvert
12.52,0.25,8.96,37.34,19.84,Yes,Yes,Introvert
19.73,1.99,11.11,31.26,20.03,Yes,Yes,Extrovert
17.36,1.31,8.78,36.75,22.73,Yes,Yes,Extrovert
8.83,0.18,9.41,32.56,16.48,Yes,No,Extrovert
16.85,0.44,13.84,37.76,17.77,Yes,Yes,Introvert
10.89,1.71,13.07,24.38,19.42,Yes,Yes,Introvert
19.18,1.29,13.89,26.58,19.26,Yes,No,Extrovert
10.42,1.47,13.95,31.11,21.96,Yes,Yes,Extrovert
11.38,1.89,14.12,39.1,24.55,Yes,No,Extrovert
18.13,0.59,10.53,30.99,23.76,Yes,Yes,Introvert
9.2,1.18,9.81,37.59,15.69,Yes,Yes,Introvert
14.47,1.38,12.87,23.38,19.09,Yes,Yes,Extrovert
9.28,0.33,10.98,39.83,19.68,Yes,No,Extrovert
16.8,0.53,13.35,21.5,16.7,No,Yes,Introvert
16.28,2.0,8.86,25.53,23.86,No,Yes,Extrovert
12.16,0.19,11.2,26.19,19.91,Yes,Yes,Introvert
14.27,0.77,11.87,25.71,17.37,Yes,No,Introvert
16.86,1.28,13.1,26.13,16.03,Yes,Yes,Introvert
19.77,0.49,8.37,26.68,20.81,Yes,Yes,Introvert
18.5,0.71,12.8,22.48,22.19,Yes,Yes,Introvert
14.01,0.98,11.89,31.88,19.17,Yes,Yes,Introvert
18.6,1.13,14.9,38.37,21.94,No,Yes,Extrovert
16.48,0.66,9.36,25.82,23.91,Yes,Yes,Introvert
8.11,0.38,13.29,38.46,21.77,Yes,Yes,Extrovert
10.66,1.04,13.56,37.94,19.27,Yes,Yes,Introvert
15.82,1.62,14.82,24.62,17.93,Yes,Yes,Extrovert
13.06,0.85,9.87,25.96,15.23,Yes,Yes,Introvert
9.59,0.38,14.23,33.88,20.61,Yes,No,Extrovert
15.8,1.61,9.92,30.08,21.66,Yes,Yes,Extrovert
14.81,1.22,14.24,26.41,16.43,Yes,Yes,Introvert
19.36,0.96,13.56,32.14,23.93,Yes,Yes,Introvert
9.88,1.69,8.78,27.57,21.43,Yes,Yes,Introvert
11.73,0.37,11.11,38.75,24.51,Yes,No,Extrovert
11.28,0.48,10.15,24.16,18.69,Yes,Yes,Extrovert
17.88,1.84,8.11,34.87,18.73,Yes,Yes,Extrovert
9.47,0.73,12.03,20.52,23.33,Yes,Yes,Introvert
17.71,1.05,8.34,30.48,24.7,Yes,Yes,Extrovert
11.4,1.42,13.46,27.1,24.51,No,Yes,Introvert
8.48,1.28,14.1,31.42,23.79,Yes,Yes,Extrovert
10.99,0.8,11.91,36.53,17.59,Yes,Yes,Extrovert
16.05,0.23,11.73,31.45,16.24,Yes,Yes,Introvert
19.92,1.56,8.66,32.41,17.34,Yes,Yes,Extrovert
13.9,0.73,10.92,20.39,19.09,Yes,No,Introvert
11.39,0.79,10.09,21.28,19.98,No,Yes,Introvert
13.26,1.41,13.56,32.76,15.22,Yes,Yes,Introvert
12.3,0.47,9.58,39.48,16.8,Yes,Yes,Introvert
17.28,1.82,10.43,20.23,19.03,Yes,Yes,Extrovert
13.71,0.54,9.66,35.2,19.94,Yes,Yes,Introvert
13.36,1.84,11.68,38.35,17.57,Yes,Yes,Extrovert
13.86,1.68,10.01,28.35,19.64,Yes,Yes,Extrovert
14.86,0.01,13.1,27.5,16.9,Yes,Yes,Introvert
11.44,1.28,9.03,33.19,23.39,Yes,No,Extrovert
9.34,0.1,11.7,28.86,21.59,Yes,Yes,Extrovert
11.9,0.86,11.08,29.74,16.34,Yes,Yes,Extrovert
11.19,0.63,12.93,37.64,18.97,No,Yes,Extrovert
16.76,1.88,9.43,21.63,22.0,Yes,Yes,Extrovert
11.08,0.63,8.24,25.03,23.84,Yes,Yes,Extrovert
8.7,1.47,9.85,34.23,15.04,Yes,Yes,Extrovert
17.9,1.47,11.06,21.42,18.98,No,Yes,Extrovert
8.41,0.49,13.97,20.28,20.85,Yes,Yes,Introvert
18.55,1.53,14.22,22.04,23.34,Yes,Yes,Extrovert
12.09,0.5,13.79,37.18,22.61,Yes,No,Introvert
8.25,0.63,14.34,23.94,21.02,Yes,Yes,Introvert
11.27,1.22,13.1,36.15,17.07,Yes,No,Extrovert
15.65,0.29,8.19,21.27,21.99,Yes,Yes,Introvert
11.64,1.92,9.23,23.41,23.57,Yes,Yes,Extrovert
8.79,0.08,9.75,35.98,20.62,Yes,No,Extrovert
14.14,1.87,10.52,21.42,24.14,Yes,Yes,Introvert
8.72,1.67,14.4,22.12,24.91,No,Yes,Extrovert
10.29,1.31,8.31,26.09,16.25,Yes,Yes,Introvert
10.12,1.58,8.69,23.88,17.24,Yes,No,Extrovert
13.02,0.39,10.16,37.05,15.17,No,Yes,Introvert
9.36,1.68,8.13,31.97,20.44,Yes,Yes,Extrovert
11.94,0.31,13.31,23.6,20.09,Yes,No,Introvert
11.31,0.33,13.0,29.65,24.9,Yes,Yes,Introvert
12.28,1.42,13.12,22.22,19.66,No,Yes,Extrovert
11.2,0.97,8.08,23.0,19.69,Yes,No,Introvert
12.41,0.43,12.14,39.08,16.06,Yes,Yes,Introvert
10.58,0.1,13.75,31.01,21.96,Yes,No,Extrovert
9.2,1.1,11.1,36.79,23.59,No,No,Extrovert
13.61,1.2,8.25,37.44,16.23,Yes,Yes,Extrovert
12.44,1.03,14.94,27.41,16.48,Yes,Yes,Introvert
17.21,1.01,8.01,37.35,22.55,Yes,Yes,Extrovert
14.9,1.14,9.57,36.15,15.79,No,Yes,Extrovert
14.12,0.63,13.57,35.92,21.87,Yes,No,Introvert
11.28,1.62,11.23,30.02,23.06,Yes,No,Extrovert
19.05,1.08,13.01,37.67,16.43,Yes,Yes,Extrovert
16.85,0.87,9.2,25.12,24.5,Yes,Yes,Introvert
17.02,1.61,10.65,32.89,20.56,Yes,No,Extrovert
14.17,1.73,8.7,28.33,24.41,Yes,Yes,Extrovert
20.0,0.1,9.65,25.1,19.35,Yes,Yes,Introvert
8.84,0.99,10.97,28.07,22.1,Yes,Yes,Extrovert
15.67,0.49,10.48,26.12,15.03,No,No,Introvert
18.16,0.4,14.85,27.46,17.72,Yes,No,Introvert
12.32,1.13,10.92,32.67,19.69,Yes,No,Introvert
14.4,0.35,12.1,26.69,16.99,Yes,Yes,Introvert
9.6,0.97,8.81,34.63,15.24,Yes,Yes,Extrovert
11.12,0.3,10.85,38.75,15.23,Yes,Yes,Introvert
10.46,1.96,14.13,37.54,23.28,Yes,Yes,Extrovert
13.2,1.22,9.84,39.21,19.47,Yes,Yes,Extrovert
14.37,1.18,8.05,34.85,15.28,Yes,Yes,Introvert
16.01,0.21,12.16,21.29,18.42,Yes,Yes,Introvert
14.51,1.17,9.81,29.38,23.11,Yes,Yes,Extrovert
10.86,1.37,10.29,27.37,16.45,Yes,No,Extrovert
11.01,1.97,13.69,25.18,18.43,Yes,Yes,Introvert
13.88,0.03,10.87,29.95,24.14,Yes,Yes,Introvert
14.81,1.84,12.21,35.72,21.39,Yes,Yes,Extrovert
12.79,1.98,12.79,39.01,18.05,Yes,Yes,Introvert
10.77,1.49,8.65,30.09,23.42,Yes,Yes,Extrovert
12.69,1.37,13.89,36.4,17.73,No,Yes,Introvert
18.59,1.5,11.52,30.28,16.95,No,Yes,Introvert
14.02,1.15,10.93,26.44,20.85,Yes,Yes,Extrovert
10.2,1.76,12.49,29.15,16.53,Yes,Yes,Introvert
10.18,0.05,11.83,23.65,18.06,Yes,Yes,Introvert
13.85,1.52,14.53,24.47,21.12,No,Yes,Introvert
16.23,1.59,8.08,23.42,21.71,Yes,Yes,Introvert
18.67,1.54,11.01,39.72,20.5,Yes,No,Extrovert
10.22,1.29,13.77,20.47,18.11,No,Yes,Extrovert
8.54,1.5,13.95,37.49,22.35,No,Yes,Extrovert
9.35,1.9,11.7,25.09,22.31,No,Yes,Introvert
14.49,0.19,13.62,36.64,20.03,Yes,Yes,Introvert
19.46,1.13,9.7,30.99,17.39,Yes,No,Extrovert
17.35,0.14,14.96,33.14,15.77,Yes,Yes,Introvert
13.22,1.09,8.71,26.14,16.31,Yes,No,Extrovert
9.92,0.91,14.65,38.15,20.74,Yes,No,Extrovert
19.3,0.99,9.7,35.06,22.63,No,Yes,Introvert
14.42,0.88,11.98,20.81,16.01,Yes,Yes,Introvert
14.08,1.39,9.77,27.16,22.1,No,Yes,Extrovert
11.21,1.64,8.45,23.98,19.6,No,No,Extrovert
18.1,0.59,10.09,35.88,16.98,Yes,Yes,Introvert
12.21,0.42,14.3,39.9,16.56,No,Yes,Introvert
18.01,1.03,9.76,21.23,25.0,Yes,Yes,Introvert
8.75,1.22,11.15,30.7,16.85,No,Yes,Extrovert
8.5,0.92,11.5,26.77,17.94,No,Yes,Introvert
19.09,0.37,13.2,35.43,22.49,No,Yes,Introvert
10.34,1.53,11.84,35.84,18.14,No,Yes,Extrovert
19.12,0.5,11.82,38.96,23.76,No,Yes,Introvert
11.08,0.98,8.85,34.32,22.85,Yes,No,Extrovert
13.76,1.72,9.72,20.86,24.01,Yes,No,Introvert
10.71,1.12,10.12,27.99,22.12,No,Yes,Extrovert
13.09,0.35,8.4,25.69,16.58,Yes,Yes,Introvert
13.08,0.19,8.43,35.42,21.95,Yes,Yes,Introvert
11.24,1.38,11.62,24.57,15.94,Yes,Yes,Introvert
18.69,0.82,12.39,27.26,19.2,No,Yes,Introvert
9.41,0.64,10.73,28.14,17.07,Yes,Yes,Introvert
10.13,1.36,9.21,25.93,24.53,Yes,No,Extrovert
16.4,1.48,12.31,25.97,19.36,Yes,Yes,Introvert
18.65,0.48,10.33,37.45,15.19,No,No,Introvert
16.33,0.56,8.53,38.74,20.13,Yes,No,Introvert
9.82,0.63,9.12,31.98,21.52,No,No,Extrovert
13.31,1.08,13.57,32.08,15.08,No,No,Extrovert
18.79,1.23,8.43,28.34,24.17,Yes,Yes,Extrovert
10.45,1.9,10.82,25.2,19.37,Yes,Yes,Extrovert
17.69,1.59,13.35,36.83,21.49,No,Yes,Extrovert
18.72,1.11,10.37,27.02,19.6,Yes,Yes,Extrovert
14.48,0.13,14.41,38.53,17.11,No,Yes,Introvert
18.01,1.53,13.37,28.93,24.36,No,Yes,Introvert
8.94,1.34,13.86,38.41,15.63,No,Yes,Extrovert
12.54,1.63,9.45,24.1,22.29,No,No,Extrovert
9.58,1.98,10.12,26.76,17.8,No,Yes,Extrovert
13.89,0.45,12.57,38.27,23.42,Yes,Yes,Introvert
14.28,0.29,12.27,22.76,24.59,Yes,No,Introvert
12.36,0.56,12.66,35.64,17.26,Yes,Yes,Introvert
14.85,1.47,8.87,37.8,24.61,Yes,Yes,Extrovert
13.25,1.41,11.15,22.58,15.69,Yes,No,Extrovert
14.81,1.09,8.04,22.1,19.11,Yes,No,Extrovert
11.88,0.16,12.53,38.83,21.62,Yes,Yes,Extrovert
10.3,1.3,8.53,22.15,16.67,Yes,Yes,Introvert
16.67,1.35,10.82,26.56,19.72,Yes,Yes,Introvert
17.83,1.63,12.0,25.07,24.16,No,No,Introvert
8.05,1.27,12.93,34.66,15.35,Yes,No,Introvert
16.89,1.59,10.16,27.23,24.63,Yes,Yes,Extrovert
12.19,2.0,12.22,25.7,21.97,No,Yes,Introvert
15.48,1.57,11.35,25.19,24.73,No,Yes,Introvert
17.75,1.48,9.79,22.78,21.1,Yes,Yes,Introvert
14.07,1.25,13.11,24.78,16.63,Yes,Yes,Extrovert
13.58,1.55,11.48,20.7,21.58,Yes,Yes,Extrovert
9.01,0.81,9.3,26.44,21.37,No,Yes,Introvert
14.34,1.32,11.38,20.88,18.33,No,Yes,Introvert
13.86,0.13,13.66,31.5,23.91,Yes,Yes,Introvert
11.08,0.57,14.97,39.66,22.01,Yes,Yes,Extrovert
13.46,1.54,14.87,36.46,24.58,No,Yes,Extrovert
17.9,0.56,14.22,26.16,20.48,Yes,No,Introvert
17.88,1.77,13.81,21.07,23.09,Yes,No,Introvert
18.22,0.05,8.95,28.44,17.48,Yes,Yes,Introvert
19.22,0.46,12.7,27.98,20.13,Yes,Yes,Introvert
14.73,0.87,14.98,36.36,20.1,Yes,Yes,Introvert
18.8,1.41,9.36,27.87,22.52,Yes,Yes,Extrovert
11.97,1.21,14.18,21.16,18.53,Yes,No,Extrovert
10.64,0.28,12.69,39.55,18.86,No,No,Extrovert
15.09,1.99,10.75,27.2,23.23,No,No,Introvert
12.89,1.74,10.79,28.92,20.59,Yes,Yes,Extrovert
8.79,0.22,14.15,29.91,23.1,Yes,Yes,Introvert
8.52,0.23,10.28,30.76,24.1,Yes,Yes,Extrovert
11.56,0.43,10.39,20.29,18.68,Yes,Yes,Extrovert
8.08,0.91,13.97,39.94,16.08,Yes,No,Introvert
8.49,1.83,14.63,29.13,15.02,Yes,Yes,Extrovert
9.48,1.82,10.92,20.77,16.27,Yes,Yes,Extrovert
19.99,0.64,13.81,23.91,24.61,Yes,No,Introvert
10.93,1.57,13.11,37.21,19.32,Yes,Yes,Introvert
10.71,0.78,12.78,22.24,24.2,No,Yes,Extrovert
16.72,0.44,9.81,33.28,17.3,Yes,Yes,Introvert
17.47,1.23,12.21,31.07,15.0,Yes,Yes,Introvert
11.19,1.71,12.39,36.04,17.15,Yes,Yes,Extrovert
17.37,1.21,8.96,22.32,23.77,Yes,Yes,Extrovert
12.98,0.71,12.74,38.3,23.77,Yes,Yes,Introvert
12.65,1.04,8.45,37.36,23.29,Yes,Yes,Extrovert
15.48,0.95,10.18,32.86,19.47,No,No,Introvert
10.77,0.78,10.12,32.62,18.49,Yes,Yes,Extrovert
8.65,1.02,10.5,36.02,16.78,No,Yes,Extrovert
15.33,0.92,11.04,20.26,17.88,Yes,Yes,Introvert
12.73,0.86,12.92,32.78,15.11,Yes,Yes,Introvert
19.13,1.39,13.33,36.66,22.16,No,Yes,Extrovert
16.47,1.37,10.22,35.84,23.38,No,Yes,Extrovert
16.41,0.79,14.3,36.48,19.85,Yes,No,Introvert
12.85,1.16,13.6,35.06,16.13,Yes,Yes,Extrovert
10.87,1.16,10.93,28.73,23.09,No,No,Extrovert
17.14,0.35,8.02,20.81,20.12,Yes,No,Introvert
10.17,0.19,12.68,29.39,23.97,Yes,Yes,Extrovert
16.25,1.31,8.22,31.31,16.09,Yes,Yes,Introvert
13.38,1.7,14.24,25.16,18.78,Yes,Yes,Introvert
11.18,1.78,14.79,26.18,17.41,Yes,No,Introvert
16.28,0.66,11.55,32.14,23.35,Yes,Yes,Introvert
14.15,0.96,12.56,21.84,20.95,Yes,Yes,Introvert
9.44,1.33,8.14,36.17,23.52,Yes,Yes,Extrovert
17.72,0.71,9.16,26.89,19.36,Yes,No,Introvert
13.29,0.09,13.48,27.78,22.87,Yes,Yes,Introvert
8.97,1.85,10.28,33.01,19.72,No,Yes,Introvert
18.59,0.87,12.8,39.21,22.09,Yes,Yes,Introvert
9.52,1.84,14.7,32.18,24.32,Yes,Yes,Extrovert
10.26,1.9,12.27,21.62,19.1,Yes,Yes,Extrovert
10.95,0.86,11.96,32.57,17.96,No,No,Introvert
17.21,0.76,13.7,27.29,21.14,Yes,Yes,Introvert
8.74,1.89,14.86,32.3,20.59,Yes,No,Extrovert
10.9,1.99,9.77,35.83,24.84,Yes,Yes,Extrovert
11.6,1.74,12.57,35.04,19.16,No,Yes,Extrovert
13.57,1.2,13.34,34.46,21.65,No,Yes,Extrovert
8.25,1.76,11.58,28.42,21.41,Yes,No,Introvert
12.23,1.79,13.52,29.45,17.98,No,No,Extrovert
11.07,1.46,13.03,31.52,22.74,No,Yes,Extrovert
17.67,0.57,12.53,26.03,22.9,Yes,Yes,Introvert
17.36,0.68,13.0,22.06,22.46,Yes,Yes,Introvert
18.91,1.65,12.75,35.9,20.99,Yes,Yes,Extrovert
9.3,0.09,12.76,30.07,19.95,Yes,Yes,Extrovert
18.22,0.5,14.4,23.87,23.52,No,Yes,Introvert
13.35,0.62,12.67,22.67,24.82,Yes,Yes,Introvert
15.93,0.97,12.41,31.44,18.58,Yes,Yes,Introvert
15.16,1.21,11.86,20.09,16.42,Yes,Yes,Extrovert
13.41,1.3,11.41,26.89,17.13,Yes,No,Introvert
18.0,1.13,9.55,33.52,20.71,Yes,Yes,Extrovert
19.39,0.92,14.19,23.44,21.8,Yes,Yes,Introvert
19.87,0.85,9.42,22.69,16.6,No,Yes,Introvert
9.02,0.99,14.75,34.7,17.5,No,No,Introvert
12.02,0.73,9.11,29.54,19.12,Yes,Yes,Introvert
16.94,1.23,9.55,28.04,15.59,Yes,No,Extrovert
13.11,1.52,9.48,25.24,24.39,Yes,Yes,Extrovert
18.66,1.68,13.4,34.29,21.01,Yes,Yes,Extrovert
9.48,1.51,11.9,27.11,15.57,Yes,Yes,Introvert
14.25,1.61,10.16,32.4,18.64,Yes,Yes,Extrovert
13.48,0.21,8.41,28.16,21.67,Yes,Yes,Introvert
15.89,0.51,10.16,29.98,16.17,Yes,No,Introvert
11.97,1.86,10.39,32.78,18.02,No,No,Introvert
8.35,0.48,8.97,22.1,19.4,Yes,Yes,Introvert
9.02,1.69,13.81,32.42,17.47,No,Yes,Extrovert
15.92,0.87,11.83,33.27,16.18,Yes,No,Introvert
17.06,0.1,10.16,23.82,17.47,Yes,No,Introvert
13.26,0.26,13.29,26.83,22.03,No,Yes,Introvert
14.59,0.04,10.41,28.32,18.76,Yes,Yes,Introvert
8.98,0.47,8.81,29.03,19.44,No,No,Extrovert
11.39,0.89,8.07,32.82,15.54,Yes,Yes,Introvert
11.84,0.2,10.98,36.82,24.85,Yes,Yes,Extrovert
11.63,1.54,12.34,39.66,20.51,Yes,Yes,Extrovert
10.99,1.27,10.41,29.2,20.78,Yes,Yes,Extrovert
16.42,0.1,11.6,36.66,16.17,Yes,No,Introvert
17.31,1.33,8.69,32.97,21.4,Yes,Yes,Extrovert
15.35,0.42,9.79,31.3,15.88,No,Yes,Introvert
19.71,0.29,10.09,25.89,24.04,No,No,Introvert
13.74,1.18,10.01,28.83,19.13,Yes,No,Introvert
18.84,1.93,13.47,20.34,18.33,Yes,No,Extrovert
9.62,1.27,13.73,37.21,16.5,No,Yes,Extrovert
11.88,1.72,13.45,33.34,19.17,No,Yes,Introvert
18.75,0.8,11.35,21.68,15.91,Yes,No,Introvert
18.43,0.42,9.28,33.12,22.16,Yes,Yes,Introvert
10.88,0.51,14.22,26.64,15.35,No,Yes,Introvert
19.36,0.99,9.89,24.86,24.88,Yes,Yes,Introvert
